business_name,niche,city,phone,url,audit_score,has_ssl,mobile_viewport,load_time_sec,issues_summary,pitch_talking_point
McKinney Pro Plumbing,Plumbing & Drain Services,"McKinney, TX",(972) 552-7212,http://mckinneyproplumbing.com,10,NO,NO,0.15,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Heritage Ranch Plumbing,Plumbing & Drain Services,"McKinney, TX",(972) 736-8215,http://heritageranchplumbing.com,10,NO,NO,0.06,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Collin County HVAC & Heating,HVAC & Air Conditioning,"McKinney, TX",(972) 542-0695,http://collincountyhvac.com,70,NO,YES,0.5,Missing SSL / Non-secure HTTP,Browsers display a 'Not Secure' warning to prospective customers when opening your site.
McKinney Air Experts,HVAC & Air Conditioning,"McKinney, TX",(972) 569-9230,http://mckinneyairexperts.com,10,NO,NO,0.03,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
North Texas Roofing & Storm Care,Roofing & Restoration,"McKinney, TX",(972) 548-7663,http://northtexasroofing.com,70,NO,YES,1.91,Missing SSL / Non-secure HTTP,Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Apex Roofing McKinney,Roofing & Restoration,"McKinney, TX",(972) 562-7663,http://apexroofingmckinney.com,10,NO,NO,0.11,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Anna Plumbing & Drain Co.,Plumbing & Drain Services,"Anna, TX",(972) 924-2121,http://annaplumbingtx.com,10,NO,NO,0.1,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Coyote Creek Plumbing,Plumbing & Drain Services,"Anna, TX",(972) 924-3450,http://coyotecreekplumbing.com,10,NO,NO,0.17,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Anna HVAC & Air Conditioning,HVAC & Air Conditioning,"Anna, TX",(972) 924-8800,http://annahvactx.com,10,NO,NO,0.11,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Highland Air Solutions,HVAC & Air Conditioning,"Anna, TX",(972) 924-4321,http://highlandairsolutions.com,10,NO,NO,0.11,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Anna Premier Roofing,Roofing & Restoration,"Anna, TX",(972) 924-7788,http://annapremierroofing.com,10,NO,NO,0.08,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Red River Storm Restoration,Roofing & Restoration,"Anna, TX",(972) 924-5610,http://redriverstorm.com,10,NO,NO,0.05,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
Texoma Lawn & Irrigation,Landscaping & Irrigation,"Anna, TX",(972) 924-9000,http://texomalawn.com,20,NO,NO,0.38,Missing SSL / Non-secure HTTP | Missing Mobile Viewport meta tag (Unresponsive layout) | Missing Local Business Google Schema | Missing tap-to-call mobile phone link,"Your website text and buttons cut off on mobile devices, causing potential clients to hit back and call competitors."
Melissa Master Plumbers,Plumbing & Drain Services,"Melissa, TX",(972) 837-1122,http://melissaplumberstx.com,10,NO,NO,0.1,Missing SSL / Non-secure HTTP | Connection error / Unreachable (<urlopen error [Errno 11001] getaddrinfo failed>),Browsers display a 'Not Secure' warning to prospective customers when opening your site.
